time_group,max_aqi,min_aqi,avg_aqi
"00:00-05:59",134,44,101.4444444444444444
18:00-23:59,153,56,114.1923076923076923
"06:00-11:59",146,63,"116.0000000000000000"
12:00-17:59,133,77,"103.0000000000000000"
