correlation_pair,pearson_correlation
aqi-temp,"0.026680950136831138279905252849991"
aqi-pressure,-0.4757299305261261739046374100046303
aqi-humidity,"0.29959346545912291428600411827115837"
aqi-wind_speed,"0.67402154455191262448163720213964243"
aqi-wind_direction,"0.158604668113038385010513896941566"
